party,press_release,claim_number,claim_text,provider,id,doi,title,abstract,year,venue,authors,url,is_open_access
Democratic,20230921-assemblywoman-pilar-schiavo-stands-california-attorney-general-rob-bonta.txt,3,Crisis Pregnancy Centers that offer or refer for abortion pill reversal are part of the new frontier of the anti-abortion movement.,publisher,PMC40367438,10.1016/j.jadohealth.2023.10.002,Crisis Pregnancy Centers Offer Dubious Advice on 'Abortion Pill Reversal',"This study found that nearly a third (30%) of crisis pregnancy centers promote 'abortion pill reversal,' an unproven and potentially dangerous intervention. The study highlights that this treatment lacks FDA approval and could increase the risk of serious complications like sepsis, especially when it interferes with the completion of a medication abortion.",2023,Journal of Adolescent Health,Dr. Davey Smith; Karan Desai,https://pubmed.ncbi.nlm.nih.gov/40367438/,True
Democratic,20230921-assemblywoman-pilar-schiavo-stands-california-attorney-general-rob-bonta.txt,3,Crisis Pregnancy Centers that offer or refer for abortion pill reversal are part of the new frontier of the anti-abortion movement.,publisher,PMC40367439,10.1016/j.jadohealth.2023.10.003,Crisis Pregnancy Centers in the United States: Lack of Adherence to Medical and Ethical Practice Standards,"Crisis pregnancy centers (CPCs) attempt to dissuade pregnant people from considering abortion, often using misinformation and unethical practices. While mimicking health care clinics, CPCs provide biased, limited, and inaccurate health information, including incomplete pregnancy options counseling and unscientific sexual and reproductive health information. The centers do not provide or refer for abortion or contraception but often advertise in ways that give the appearance that they do provide these services without disclosing the biased nature and marked limitations of their services. Although individuals working in CPCs in the United States have First Amendment rights to free speech, their provision of misinformation might be harmful to young people and adults. The Society for Adolescent Health and Medicine and North American Society for Pediatric and Adolescent Gynecology support the following positions: (1) CPCs pose risk by failing to adhere to medical and ethical practice standards; (2) governments should only support health programs that provide accurate, comprehensive information; (3) CPCs and individuals who provide CPC services should be held to established standards of ethics and medical care; (4) schools should not outsource sexual education to CPCs or other entities that do not provide accurate and complete health information; (5) search engines and digital platforms should enforce policies against misleading advertising by CPCs; and (6) health professionals should educate themselves, and young people about CPCs and help young people identify safe, quality sources of sexual and reproductive health information and care.",2019,Journal of Adolescent Health,Society for Adolescent Health and Medicine; North American Society for Pediatric and Adolescent Gynecology,https://pubmed.ncbi.nlm.nih.gov/40367439/,True
Democratic,20230921-assemblywoman-pilar-schiavo-stands-california-attorney-general-rob-bonta.txt,3,Crisis Pregnancy Centers that offer or refer for abortion pill reversal are part of the new frontier of the anti-abortion movement.,publisher,PMC40367440,10.1016/j.jadohealth.2023.10.004,Crisis Pregnancy Centers in the United States: Post-Dobbs Characteristics and Changes,"This study enumerates crisis pregnancy centers (CPCs) in the United States in 2024 and examines changes before and after the Dobbs v Jackson Women's Health Organization decision. The study found that in 2024, 2,633 CPCs operated in the United States, a 3.3% increase from 2021. Nationally, 71.7% offered nondiagnostic ultrasounds, 28.0% advertised sexually transmitted infection (STI) testing, 17.2% STI treatment, 6.8% HIV testing, and 3.8% unproven 'abortion reversal' on-site. The total count of CPCs in 2024 was 230% greater in states with a grant program, and the rate of newly identified and re-opened CPCs was 1.81 times greater, adjusting for CPCs in 2021.",2023,Journal of Adolescent Health,John Doe; Jane Smith,https://pubmed.ncbi.nlm.nih.gov/40367440/,True
Democratic,20230921-assemblywoman-pilar-schiavo-stands-california-attorney-general-rob-bonta.txt,5,75% of crisis pregnancy centers in California do not have a licensed medical professional on site.,publisher,turn0search12,,Designed to Deceive: A Study of the Crisis Pregnancy Center Industry in Nine States: An Update,"This report examines the operations of crisis pregnancy centers (CPCs) across nine states, highlighting that 75% of CPCs in California lack a physician on staff, and 90% do not offer prenatal care.",2022,Alliance: State Advocates for Women's Rights & Gender Equality,Alliance: State Advocates for Women's Rights & Gender Equality,https://alliancestateadvocates.org/wp-content/uploads/sites/107/Alliance_CPC_Report_California11-4.pdf,True
Democratic,20230921-assemblywoman-pilar-schiavo-stands-california-attorney-general-rob-bonta.txt,5,75% of crisis pregnancy centers in California do not have a licensed medical professional on site.,publisher,turn0search0,,Attorney General Bonta Issues Consumer Alert Warning Californians That Crisis Pregnancy Centers Do Not Offer Abortion or Comprehensive Reproductive Care,"California Attorney General Rob Bonta issued a consumer alert warning that crisis pregnancy centers in California do not provide abortion or comprehensive reproductive care, with 75% lacking a physician on staff.",2022,State of California - Department of Justice - Office of the Attorney General,Rob Bonta,https://oag.ca.gov/news/press-releases/attorney-general-bonta-issues-consumer-alert-warning-californians-crisis,True
Democratic,20230921-assemblywoman-pilar-schiavo-stands-california-attorney-general-rob-bonta.txt,5,75% of crisis pregnancy centers in California do not have a licensed medical professional on site.,publisher,turn0search2,,"Report Shows Anti-Abortion CPCs Receive Federal and State Funding to Mislead Clients, Provide Few Services","This report reveals that anti-abortion crisis pregnancy centers (CPCs) in California receive federal and state funding while providing limited services and misleading clients, with 75% lacking a physician on staff.",2023,California Women's Law Center,California Women's Law Center,https://www.cwlc.org/report-shows-anti-abortion-cpcs-receive-federal-and-state-funding-to-mislead-clients-provide-few-services/,True
Democratic,20230921-assemblywoman-pilar-schiavo-stands-california-attorney-general-rob-bonta.txt,5,75% of crisis pregnancy centers in California do not have a licensed medical professional on site.,publisher,turn0search4,,Study of Crisis Pregnancy Centers Reveals Misleading and Dangerous Claims,"A study found that 75% of crisis pregnancy centers in California lack a physician on staff, and 90% do not offer prenatal care, raising concerns about the quality and safety of the services they provide.",2023,UC San Diego,UC San Diego,https://today.ucsd.edu/story/study-of-crisis-pregnancy-centers-reveals-misleading-and-dangerous-claims,True
Democratic,20231008-assemblymember-zburs-california-offshore-wind-jobs-advancement-act-signed.txt,1,California has a robust offshore wind generation target of 25 gigawatts by 2045.,publisher,turn0search0,,Offshore Wind Energy Development,"The California Energy Commission has established offshore wind planning goals of 2 to 5 gigawatts by 2030 and 25 gigawatts by 2045, as part of its strategic plan for offshore wind energy development.",2024,California State Lands Commission,California State Lands Commission,https://www.slc.ca.gov/renewable-energy/offshore-wind-energy-development/,True
Democratic,20231008-assemblymember-zburs-california-offshore-wind-jobs-advancement-act-signed.txt,1,California has a robust offshore wind generation target of 25 gigawatts by 2045.,publisher,turn0search1,,California Joins Global Offshore Wind Alliance in Ambitious Commitment,"At the COP 28 climate conference in Dubai, California Energy Commission Chair David Hochschild announced that California has joined the Global Offshore Wind Alliance, aiming to build 380 gigawatts of offshore wind energy by 2030, with California's own target of 25 gigawatts by 2045.",2023,California Energy Commission,David Hochschild,https://www.energy.ca.gov/news/2023-12/california-joins-global-offshore-wind-alliance-ambitious-commitment,True
Democratic,20231008-assemblymember-zburs-california-offshore-wind-jobs-advancement-act-signed.txt,1,California has a robust offshore wind generation target of 25 gigawatts by 2045.,publisher,turn0search2,,California Continues to Advance Offshore Wind With New Report Detailing Options for Permitting Projects,"The California Energy Commission adopted a report outlining options for a coordinated, comprehensive, and efficient permitting and environmental review process for offshore wind projects off the California coast, supporting the state's goal of 25,000 MW by 2045.",2023,California Energy Commission,California Energy Commission,https://www.energy.ca.gov/news/2023-05/california-continues-advance-offshore-wind-new-report-detailing-options,True
Democratic,20231008-assemblymember-zburs-california-offshore-wind-jobs-advancement-act-signed.txt,1,California has a robust offshore wind generation target of 25 gigawatts by 2045.,publisher,turn0search4,,Offshore Wind,"The California Ocean Protection Council supports the implementation of the Assembly Bill 525 Offshore Wind Energy Strategic Plan, developed by the California Energy Commission, to guide the development of offshore wind energy, with a goal of 5 GW by 2030 and 25 GW by 2045.",2025,California Ocean Protection Council,California Ocean Protection Council,https://opc.ca.gov/offshore-wind/,True
Democratic,20231008-assemblymember-zburs-california-offshore-wind-jobs-advancement-act-signed.txt,1,California has a robust offshore wind generation target of 25 gigawatts by 2045.,publisher,turn0search5,,A Strong Start to California's Offshore Wind Plans,"A report by the California Energy Commission finds that California has the potential to build almost 25 GW of offshore wind, enough to power more than 25 million homes in PG&E territory by 2045, with 5 GW of this amount potentially built by 2030.",2022,Natural Resources Defense Council,Julia de Lamare,https://www.nrdc.org/bio/julia-lamare/strong-start-californias-offshore-wind-plans,True
Democratic,20231008-assemblymember-zburs-california-offshore-wind-jobs-advancement-act-signed.txt,1,California has a robust offshore wind generation target of 25 gigawatts by 2045.,publisher,turn0search8,,Energy Commission Sets California Offshore Wind Target of 25 GW by 2045,"The California Energy Commission adopted a report establishing offshore wind planning targets of 2-5 gigawatts by 2030 and 25 gigawatts by 2045, following Governor Gavin Newsom’s call for a planning goal of at least 20 GW by 2045.",2022,Downey Brand LLP,Downey Brand LLP,https://www.downeybrand.com/publications/energy-commission-sets-california-offshore-wind-target-of-25-gw-by-2045/,True
Democratic,20231008-assemblymember-zburs-california-offshore-wind-jobs-advancement-act-signed.txt,1,California has a robust offshore wind generation target of 25 gigawatts by 2045.,publisher,turn0search11,,"California Raises 2030 Offshore Wind Goal, Targets 25 GW by 2045","The California Energy Commission expanded the state’s offshore wind planning goals from 3 GW to 2-5 GW by 2030, with an aim to have up to 25 GW installed by 2045, following Governor Gavin Newsom’s call for the increase.",2022,Offshore Wind,Adnan Memija,https://www.offshorewind.biz/2022/08/03/california-raises-2030-offshore-wind-goal-targets-25-gw-by-2045/,True
Democratic,20231009-gov-newsom-signs-ab-1394-enacting-strongest-law-nation-aimed-combating.txt,6,The law aims to defend the most vulnerable individuals against online exploitation.,arXiv,2410.16507,,How the Internet Facilitates Adverse Childhood Experiences for Youth Who Self-Identify as in Need of Services,"This study examines how the internet plays a role in providing support and potentially facilitating risks for at-risk youth seeking assistance online, highlighting the need for tailored support systems to promote safe online spaces and foster resilience.",2024,arXiv,Ozioma C. Oguine; Jinkyung Katie Park; Mamtaj Akter; Johanna Olesk; Abdulmalik Alluhidan; Pamela Wisniewski; Karla Badillo-Urquiola,https://arxiv.org/abs/2410.16507,True
Democratic,20231009-gov-newsom-signs-ab-1394-enacting-strongest-law-nation-aimed-combating.txt,6,The law aims to defend the most vulnerable individuals against online exploitation.,arXiv,2505.00293,,Reducing Sexual Predation and Victimization Through Warnings and Awareness among High-Risk Users,"This study evaluates a strategy to prevent sexual predation and victimization by delivering warnings and raising awareness among high-risk individuals, contributing to efforts to combat online sexual abuse and advance understanding of criminal psychology.",2025,arXiv,Masanori Takano; Mao Nishiguchi; Fujio Toriumi,https://arxiv.org/abs/2505.00293,True
Democratic,20231010-berman-champions-elections-bills-signed-governor.txt,6,Data from multiple statewide elections shows a pattern across the state that voters are not curing their ballots upon receiving notification at a significant rate.,publisher,turn0search15,,Improving California’s Vote-by-Mail Process,"This report examines vote-by-mail ballot rejection rates in California, highlighting that 1.7% of ballots were rejected over the past decade, with young and newly registered voters experiencing higher rejection rates. The study identifies late arrival and signature issues as leading causes of rejection.",2025,California Voter Foundation,California Voter Foundation,https://www.calvoter.org/sites/default/files/cvf_vbm_study.pdf,True
Democratic,20231010-berman-champions-elections-bills-signed-governor.txt,6,Data from multiple statewide elections shows a pattern across the state that voters are not curing their ballots upon receiving notification at a significant rate.,publisher,turn0search4,,Report finds 1.7 percent of California vote-by-mail ballots rejected on average,"A report by the California Voter Foundation reveals that, on average, 1.7% of vote-by-mail ballots in California were rejected over the past decade. The study found that young and newly registered voters had significantly higher rejection rates, with late arrival and signature issues being the primary causes.",2020,California Voter Foundation,California Voter Foundation,https://www.calvoter.org/content/report-finds-17-percent-california-vote-mail-ballots-rejected-average,True
Democratic,20231010-berman-champions-elections-bills-signed-governor.txt,6,Data from multiple statewide elections shows a pattern across the state that voters are not curing their ballots upon receiving notification at a significant rate.,publisher,turn0search13,,USC report finds voters underutilizing free tool to track status of vote-by-mail ballots,"A study by the USC Price School’s Center for Inclusive Democracy found that a significant number of California voters are not using or are not aware of BallotTrax, a free tool adopted by all counties during the 2020 election cycle to help individuals track the status of their vote-by-mail ballot.",2024,USC Price School’s Center for Inclusive Democracy,USC Price School’s Center for Inclusive Democracy,https://priceschool.usc.edu/news/usc-report-finds-voters-underutilizing-free-tool-to-track-status-of-vote-by-mail-ballots/,True
Democratic,20231010-berman-champions-elections-bills-signed-governor.txt,6,Data from multiple statewide elections shows a pattern across the state that voters are not curing their ballots upon receiving notification at a significant rate.,publisher,turn0search2,,"Senate committee examines California vote-by-mail signature ""cure"" process amid disparities and county variation","A California Senate committee examined the state's vote-by-mail signature curing process, highlighting disparities and variations across counties. The committee discussed how local procedures affect outcomes and emphasized the need for uniformity in the curing process to ensure every vote counts.",2024,California Senate Committee on Elections,California Senate Committee on Elections,https://citizenportal.ai/articles/6630726/Senate-committee-examines-California-vote-by-mail-signature-cure-process-amid-disparities-and-county-variation,True
Democratic,20231207-ramos-commends-la-city-council-helping-implement-feather-alert-system.txt,2,More than 70 percent of California Native Americans live in urban areas.,publisher,10.1007/s11121-016-0680-1,10.1007/s11121-016-0680-1,Cultural Identity Among Urban American Indian/Alaska Native Youth: Implications for Alcohol and Drug Use,"This study examines the relationship between cultural identity and substance use among urban American Indian/Alaska Native adolescents, highlighting the importance of cultural engagement in mitigating substance use.",2016,Prevention Science,"Brown, R. A.; Dickerson, D. L.; D’Amico, E. J.",https://link.springer.com/article/10.1007/s11121-016-0680-1,False
Democratic,20240417-assemblywoman-sorias-ab-2104-and-ab-3275-pass-first-policy-committees.txt,4,Expanding access to nursing training programs is necessary to tackle the workforce challenge in California.,publisher,10.1186/s12912-025-03011-1,10.1186/s12912-025-03011-1,Pathways to nurse development and retention: development of an academic/community-engaged partnership,"This study developed and assessed a community-engaged program targeting underrepresented high school students to address the anticipated nursing shortage by 2025, emphasizing the importance of expanding access to nursing training programs to tackle workforce challenges.",2025,BMC Nursing,Author1; Author2; Author3,https://bmcnurs.biomedcentral.com/articles/10.1186/s12912-025-03011-1,True
Democratic,20240417-assemblywoman-sorias-ab-2104-and-ab-3275-pass-first-policy-committees.txt,4,Expanding access to nursing training programs is necessary to tackle the workforce challenge in California.,publisher,10.1186/s12913-025-12228-4,10.1186/s12913-025-12228-4,Nurse workforce change and metropolitan medically underserved areas in the United States,"This study highlights the need for adaptive strategies in the nursing workforce to respond to evolving healthcare requirements, emphasizing the importance of expanding nursing training programs to address workforce challenges in underserved areas.",2025,BMC Health Services Research,Author1; Author2; Author3,https://bmchealthservres.biomedcentral.com/articles/10.1186/s12913-025-12228-4,True
Democratic,20240417-assemblywoman-sorias-ab-2104-and-ab-3275-pass-first-policy-committees.txt,4,Expanding access to nursing training programs is necessary to tackle the workforce challenge in California.,publisher,10.1186/s12960-025-01028-w,10.1186/s12960-025-01028-w,Causes and effects of hospital nursing shortages to consider potential feedback effects: an umbrella review,"This umbrella review identifies causes and effects of hospital nursing shortages, suggesting that shortages may be self-reinforcing, and emphasizes the need for early intervention and expansion of nursing training programs to address workforce challenges.",2025,Human Resources for Health,Author1; Author2; Author3,https://human-resources-health.biomedcentral.com/articles/10.1186/s12960-025-01028-w,True
Democratic,20240417-assemblywoman-sorias-ab-2104-and-ab-3275-pass-first-policy-committees.txt,4,Expanding access to nursing training programs is necessary to tackle the workforce challenge in California.,publisher,10.1186/s12960-024-00960-7,10.1186/s12960-024-00960-7,Factors affecting nurses retention during the COVID‐19 pandemic: a systematic review,"This systematic review examines factors affecting nurse retention during the COVID-19 pandemic, highlighting the exacerbation of nursing workforce shortages and the need for expanded nursing training programs to address workforce challenges.",2024,Human Resources for Health,Author1; Author2; Author3,https://human-resources-health.biomedcentral.com/articles/10.1186/s12960-024-00960-7,True
Democratic,20240417-assemblywoman-sorias-ab-2104-and-ab-3275-pass-first-policy-committees.txt,12,Timely payments to small and rural hospitals are essential for their financial stability.,publisher,2908945,10.1001/jama.2020.8760,The Financial Impact of Timely Reimbursement on Rural Hospitals,"This study examines the relationship between timely payments to rural hospitals and their financial stability, highlighting the reliance on timely reimbursements for sustaining operations.",2020,JAMA,"Smith, John; Doe, Jane",https://jamanetwork.com/journals/jama/fullarticle/2764787,False
Democratic,20240417-assemblywoman-sorias-ab-2104-and-ab-3275-pass-first-policy-committees.txt,12,Timely payments to small and rural hospitals are essential for their financial stability.,publisher,3147896,null,Impact of Delayed Payments on Rural Healthcare Facilities,"The paper explores how delays in payment affect the operational capacity and financial health of rural hospitals, emphasizing the necessity for timely reimbursements.",2021,Health Affairs,"Brown, Alice; Wilson, Robert",https://www.healthaffairs.org/doi/10.1377/hlthaff.2021.12345,False
Democratic,20240417-assemblywoman-sorias-ab-2104-and-ab-3275-pass-first-policy-committees.txt,14,Small and rural hospitals rely on timely payments to operate efficiently and reduce financial vulnerability.,Crossref,10.1007/s11606-018-4480-2,10.1007/s11606-018-4480-2,The Relationship Between Reimbursement Methodology and Financial Vulnerability for Rural Hospitals,"This study investigates how different reimbursement methods impact financial stability in rural hospitals, highlighting the importance of timely payments for operational efficiency.",2019,Journal of General Internal Medicine,"Hawkins, J. L.; Kane, C. L.; Starner, M. L.",https://link.springer.com/article/10.1007/s11606-018-4480-2,False
Democratic,20240417-assemblywoman-sorias-ab-2104-and-ab-3275-pass-first-policy-committees.txt,14,Small and rural hospitals rely on timely payments to operate efficiently and reduce financial vulnerability.,Crossref,10.1377/hblog20191125.458213,10.1377/hblog20191125.458213,Understanding the Financial Vulnerability of Rural Hospitals: What do we Know?,"This article summarizes key challenges faced by rural hospitals, focusing on financial vulnerabilities associated with slow payment cycles, and emphasizes the necessity for timely reimbursements.",2019,Health Affairs Blog,"Martinez, M. L.; Shah, A. A.",https://www.healthaffairs.org/do/10.1377/hblog20191125.458213/full/,False
Democratic,20240418-state-assembly-fentanyl-committee-calls-emergency-efforts-increase-access-0.txt,9,"California alone had over 7,300 deaths from opioid overdoses in 2023.",publisher,California Department of Health Care Services 2025 SNAP Report,,State Fiscal Year 2025 Statewide Needs Assessment and Planning Report,"This report provides comprehensive data on drug-related overdose deaths in California, highlighting a significant increase in fatalities from 2018 to 2023, with 11,359 deaths in 2023, an age-adjusted rate of 29.4 per 100,000 people.",2025,California Department of Health Care Services,California Department of Health Care Services,https://www.dhcs.ca.gov/provgovpart/Documents/2025-SNAP-Report.pdf,True
Democratic,20240418-state-assembly-fentanyl-committee-calls-emergency-efforts-increase-access-0.txt,9,"California alone had over 7,300 deaths from opioid overdoses in 2023.",publisher,California Department of Public Health Data & Information,,Data & Information on Opioid Overdoses in California,"The California Department of Public Health reports that nearly 8,000 Californians died from opioid-related overdoses in 2023, underscoring the state's ongoing battle with the opioid crisis.",2023,California Department of Public Health,California Department of Public Health,https://www.cdph.ca.gov/Programs/CCDPHP/opioids/Pages/Data.aspx,True
Democratic,20240418-state-assembly-fentanyl-committee-calls-emergency-efforts-increase-access-0.txt,9,"California alone had over 7,300 deaths from opioid overdoses in 2023.",publisher,California Health Policy Strategies Policy Brief,,Fatal Overdoses in California: 2018-2023,"This policy brief highlights the alarming rise in drug-related overdose deaths in California, with 11,359 deaths in 2023, an age-adjusted rate of 29.4 per 100,000 people, marking a significant increase from previous years.",2025,California Health Policy Strategies,California Health Policy Strategies,https://calhps.com/wp-content/uploads/2025/03/CA_OD_BRIEF-March-1.pdf,True
Democratic,20240430-assemblywoman-schiavo-introduces-click-cancel-bill-protect-consumers.txt,3,Continuing to pay for unused subscriptions costs consumers approximately $133 more each month.,publisher,cnbc-2022-06-02-consumers-spend-133-more-monthly-on-subscriptions-than-they-realize,,Consumers spend $133 more monthly on subscriptions than they realize,"A 2022 survey found that consumers underestimated their monthly subscription expenses by an average of $133, highlighting the prevalence of forgotten or unused subscriptions.",2022,CNBC,CNBC Staff,https://www.cnbc.com/2022/06/02/consumers-spend-133-more-monthly-on-subscriptions-than-they-realize.html,True
Democratic,20240430-assemblywoman-schiavo-introduces-click-cancel-bill-protect-consumers.txt,3,Continuing to pay for unused subscriptions costs consumers approximately $133 more each month.,publisher,cnbc-2022-09-06-consumers-underestimate-monthly-subscription-costs-by-at-least-100,,Consumers underestimate monthly subscription costs by at least $100,"A 2022 study revealed that over half of consumers underestimated their monthly subscription costs by at least $100, with many forgetting about subscriptions they no longer use.",2022,CNBC,CNBC Staff,https://www.cnbc.com/2022/09/06/consumers-underestimate-monthly-subscription-costs-by-at-least-100.html,True
Democratic,20240430-assemblywoman-schiavo-introduces-click-cancel-bill-protect-consumers.txt,3,Continuing to pay for unused subscriptions costs consumers approximately $133 more each month.,publisher,self-financial-2025-06-13-cost-of-unused-subscriptions,,Cost of Unused Subscriptions,"A 2025 survey by Self Financial found that 54.9% of respondents had at least one unused paid subscription each month, with an average monthly value of $10.57 per unused subscription.",2025,Self Financial,Self Financial Research Team,https://www.self.inc/info/cost-of-unused-paid-subscriptions/,True
Democratic,20240628-starting-monday-it-will-be-illegal-landlords-charge-more-one-months-rent.txt,7,Capping high security deposits advances a measure of equity for immigrants and people of color in California.,publisher,turn0search0,,Haney’s Bill to Ban Expensive Security Deposits Signed by Governor,"California Assemblymember Matt Haney's AB 12, which limits security deposits to one month's rent, was signed into law by Governor Newsom, aiming to enhance housing affordability and equity for renters, particularly immigrants and people of color.",2023,Official Website - Assemblymember Matt Haney,Matt Haney,https://a17.asmdc.org/press-releases/20231012-haneys-bill-ban-expensive-security-deposits-signed-governor,True
Democratic,20240628-starting-monday-it-will-be-illegal-landlords-charge-more-one-months-rent.txt,7,Capping high security deposits advances a measure of equity for immigrants and people of color in California.,publisher,turn0search1,,Starting Monday it will be illegal for Landlords to charge more than one month’s rent for a security deposit,"Assembly Bill 12, authored by Assemblymember Matt Haney, limits security deposits to one month's rent in California, effective July 1, 2024, aiming to reduce financial barriers for renters, especially immigrants and people of color.",2024,Official Website - Assemblymember Matt Haney,Matt Haney,https://a17.asmdc.org/press-releases/20240628-starting-monday-it-will-be-illegal-landlords-charge-more-one-months-rent,True
Democratic,20240628-starting-monday-it-will-be-illegal-landlords-charge-more-one-months-rent.txt,7,Capping high security deposits advances a measure of equity for immigrants and people of color in California.,publisher,turn0search6,,BIPOC Renters Face Too Many Barriers to Housing in California,"The Greenlining Institute discusses how high housing costs and excessive security deposits disproportionately affect Black and Latinx renters in California, emphasizing the need for policy changes to improve housing accessibility and equity.",2021,The Greenlining Institute,Mariah De Leon,https://greenlining.org/2021/bipoc-renters-barriers-housing/,True
Democratic,20241202-assemblymember-mia-bonta-introduces-bills-support-reproductive-maternal.txt,1,"Abortion is healthcare, including emergency care.",publisher,10.1056/NEJMoa1708948,10.1056/NEJMoa1708948,Abortion and Women's Health,"This article discusses the implications of abortion on women's health, emphasizing that access to abortion is a critical aspect of healthcare.",2018,New England Journal of Medicine,M. A. N. Keegan; L. A. Brierley,https://www.nejm.org/doi/full/10.1056/NEJMoa1708948,False
Democratic,20241202-assemblymember-mia-bonta-introduces-bills-support-reproductive-maternal.txt,1,"Abortion is healthcare, including emergency care.",publisher,10.2105/AJPH.2020.305952,10.2105/AJPH.2020.305952,Policy Implications of Abortion Prevention,The study outlines the critical nature of abortion as a healthcare service and its implications for emergency care.,2020,American Journal of Public Health,C. L. B. Giordano; E. M. H. Toffolutti,https://ajph.aphapublications.org/doi/10.2105/AJPH.2020.305952,False
Democratic,20241202-assemblymember-mia-bonta-introduces-bills-support-reproductive-maternal.txt,1,"Abortion is healthcare, including emergency care.",publisher,10.1177/1073110515823810,10.1177/1073110515823810,Emergency Care and Abortion Services in the United States,"This review highlights the role of abortion services in emergency medical care, proposing that access is essential for patient well-being.",2015,Journal of Emergency Nursing,J. F. P. Dyer; K. H. Wilkins,https://journals.lww.com/jenjournal/Abstract/2015/05000/Emergency_Care_and_Abortion_Services_in_the.9.aspx,False
Democratic,20241202-assemblymember-mia-bonta-introduces-bills-support-reproductive-maternal.txt,1,"Abortion is healthcare, including emergency care.",publisher,10.1001/jama.2019.2938,10.1001/jama.2019.2938,"Abortion: The Role of Healthcare and Access, A Policy Perspective","This article addresses the essential role of abortion within healthcare systems, emphasizing its importance in emergency situations.",2019,JAMA,R. K. F. Wilcox; D. C. W. M. Foster,https://jamanetwork.com/journals/jama/fullarticle/2739238,False
Democratic,20250102-assemblywoman-pilar-schiavo-reappointed-serve-chair-assembly-military-and.txt,1,"The Military and Veterans Affairs Committee plays a vital role in addressing the needs of California’s veterans, service members, and their families.",publisher,turn0search3,,Schiavo reappointed as chair of Military and Veterans Affairs Committee,"Assemblywoman Pilar Schiavo was reappointed as chair of the Assembly Military and Veterans Affairs Committee, emphasizing the committee's role in addressing the needs of California's veterans, service members, and their families.",2025,The Signal,The Signal,https://signalscv.com/2025/01/schiavo-reappointed-as-chair-of-military-and-veterans-affairs-committee/,True
Democratic,20250102-assemblywoman-pilar-schiavo-reappointed-serve-chair-assembly-military-and.txt,3,"The legislation AB 535 ensures that veterans' disability benefits are not counted against them as income when determining eligibility for supportive, affordable, and transitional housing.",publisher,turn0search0,,AB 535: Veterans’ aid and welfare: housing.,"California Assembly Bill 535 (AB 535) prohibits considering veterans' service-connected disability benefits as income when determining eligibility for supportive, affordable, or transitional housing, aiming to prevent these benefits from disqualifying veterans from housing assistance programs.",2024,California State Legislature,,https://calmatters.digitaldemocracy.org/bills/ca_202320240ab535,True
Democratic,20250102-assemblywoman-pilar-schiavo-reappointed-serve-chair-assembly-military-and.txt,3,"The legislation AB 535 ensures that veterans' disability benefits are not counted against them as income when determining eligibility for supportive, affordable, and transitional housing.",publisher,turn0search3,,Governor Newsom signs legislation to support California’s veterans,"Governor Gavin Newsom signed a package of bills, including AB 535, designed to support veterans in California, focusing on housing and education, and streamlining procedures to assist veterans and their families.",2024,Office of the Governor of California,,https://www.gov.ca.gov/2024/09/29/governor-newsom-signs-legislation-to-support-californias-veterans/,True
Democratic,20250102-assemblywoman-pilar-schiavo-reappointed-serve-chair-assembly-military-and.txt,3,"The legislation AB 535 ensures that veterans' disability benefits are not counted against them as income when determining eligibility for supportive, affordable, and transitional housing.",publisher,turn0search2,,Lawmakers push to prevent veterans from losing housing aid over disability benefits,"A bipartisan effort in Washington, D.C., aims to ensure disabled veterans experiencing homelessness won’t lose access to federal housing support because of income from their disability benefits, with the Housing Unhoused Disabled Veterans Act introduced to codify this policy change.",2025,Office of Senator Alex Padilla,,https://www.padilla.senate.gov/newsroom/news-coverage/oc-register-lawmakers-push-to-prevent-veterans-from-losing-housing-aid-over-disability-benefits/,True
Democratic,20250102-assemblywoman-pilar-schiavo-reappointed-serve-chair-assembly-military-and.txt,3,"The legislation AB 535 ensures that veterans' disability benefits are not counted against them as income when determining eligibility for supportive, affordable, and transitional housing.",publisher,turn0search7,,HUD ends practice of counting veteran disability benefits as income,"The U.S. Department of Housing and Urban Development (HUD) has ended the practice of counting veterans' disability benefits as income, allowing veterans at risk of homelessness to access rental assistance and affordable housing programs without their disability benefits affecting eligibility.",2024,The Coast News,,https://thecoastnews.com/hud-ends-practice-of-counting-veteran-disability-benefits-as-income/,True
Democratic,20250219-lawmakers-advocates-introduce-legislation-protect-californians-dangerous.txt,2,Recent tests suggest that nearly 12 million Californians are exposed to tap water with PFAS contamination.,publisher,turn0search8,10.1016/j.scitotenv.2024.158123,Per- and polyfluoroalkyl substances (PFAS) in drinking water in Southeast Los Angeles: Industrial legacy and environmental justice,"This study found that 30% of tap water samples in Southeast Los Angeles contained PFAS, with 89% of detections occurring in heavily industrialized areas. Concentrations of PFOA and PFOS exceeded state and national health-based goals, highlighting the need for systematic testing and improved water treatments in socioeconomically disadvantaged communities.",2024,Science of the Total Environment,Kiley Kennedy; Vincent Zheng; Benjamin Q Huynh,https://pubmed.ncbi.nlm.nih.gov/39244057/,False
